English,CEFR,gender,word,wordWithNiqqud,transliteration,definition,example,exampleWithNiqqud,translation
constitution,B2,feminine,חוקה,חוּקָה,khuká,,החוקה מבטיחה שוויון זכויות לכל האזרחים.,הַחוּקָּה מַבְטִיחָה שִׁוְיוֹן זְכֻיּוֹת לְכָל הָאֶזְרָחִים.,The constitution guarantees equal rights for all citizens.
"contact, connection",A2,masculine,קשר,קֶשֶׁר,késher,חיבור בין אנשים או דברים,הקשר ביניהם חזק מאוד.,הַקֶּשֶׁר בֵּינֵיהֶם חָזָק מְאוֹד.,The connection between them is very strong.
contain,B2,verb,הכיל,הֵכִיל,heħíl,הכיל דבר מה,הספר מכיל מידע חשוב לתלמידים.,הַסֵּפֶר מַכִּיל מֵידָע חָשׁוּב לַתַּלְמִידִים.,The book contains important information for students.
container,B1,masculine,מכל,מִכָּל,mħál,כלי קיבול גדול,המכל הזה מלא במים.,הַמֵּכַל הַזֶּה מָלֵא בְּמַיִם.,This container is full of water.
contemporary,B2,adjective,עכשווי,עַכְשָׁוִי,aħshavi,,האמנות העכשוית משקפת את העידן הדיגיטלי.,הָאוֹמָנוּת הָעַכְשָׁוִית מְשַׁקֶּפֶת אֶת הָעִדָּן הַדִּיגִיטָלִי.,Contemporary art reflects the digital era.
content,B2,feminine,תכולה,תְּכוּלָה,tħulá,,משקל התכולה נמדד בנפרד מהאריזה.,מִשְׁקַל הַתְּכוּלָה נִמְדַּד בְּנִפְרָד מֵהָאֲרִיזָה.,The weight of the contents was measured separately from the packaging.
continent,B1,feminine,יבשת,יַבֶּשֶׁת,yabéshet,יבשה גדולה בעולם,יש שבע יבשות בעולם.,יֵשׁ שֶׁבַע יַבָּשׁוֹת בָּעוֹלָם.,There are seven continents in the world.
control,B2,feminine,בקרה,בַּקָּרָה,bakará,פיקוח ובדיקה,בקרה היא חלק חשוב בתוכניות ניהול.,בַּקָּרָה הִיא חֵלֶק חַשּׁוּב בְּתוֹכְנִיּוֹת נִהוּל.,Control is an important part of management programs.
conversation,A2,feminine,שיחה,שִׂיחָה,siħá,שיחה בין אנשים,היתה לנו שיחה על תוכניות לעתיד.,הָיְתָה לָנוּ שִׂיחָה עַל תָּכְנִיּוֹת לֶעָתִיד.,We had a conversation about future plans.
cookie,A2,feminine,עוגייה,עוּגִיָּה,ugiyá,מאפה קטן מתוק,היא אכלה עוגייה עם תה.,הִיא אָכְלָה עוּגִיָּה עִם תֵּה.,She ate a cookie with tea.
cool,B2,adjective,צונן,צוֹנֵן,tsonén,,החדר היה צונן ונעים.,הַחֶדֶר הָיָה צוֹנֵן וְנָעִים.,The room was cool and pleasant.
cool,B2,verb,צינן,צִינֵּן,tsinén,,המים הקרים ציננו את גופו.,הַמַּיִם הַקָּרִים צִנְּנוּ אֶת גּוּפוֹ.,The cold water cooled his body.
"cool, great",B1,adjective,מגניב,מַגְנִיב,magnív,מילה לתיאור דבר טוב ומגניב,הסרט הזה מגניב מאוד!,הַסֶּרֶט הַזֶּה מַגְנִיב מְאוֹד!,This movie is really cool!
copper,B2,feminine,נחושת,נְחוֹשֶׁת,nħóshet,,הטבעת עשויה נחושת.,הַטַּבַּעַת עֲשׂוּיָה נְחוֹשֶׁת.,The ring is made of copper.
copy,B2,masculine,עותק,עוֹתֶק,ótek,,לכל תלמיד חולק עותק של החוברת.,לְכָל תַּלְמִיד חֻלַּק עוֹתֶק שֶׁל הַחוֹבֶרֶת.,Each student received a copy of the booklet.
core,B2,feminine,ליבה,לֵיבָּה,libá,,הליבה של הבעיה קשורה בחינוך.,הַלִּיבָּה שֶׁל הַבְּעָיָה קְשׁוּרָה בְּחִנּוּךְ.,The core of the problem is connected to education.
"corner, horn",B1,feminine,קרן,קֶרֶן,kéren,פינה או קרן אור,האור יצא מהקרן של המנורה.,הָאוֹר יָצָא מֵהַקֶּרֶן שֶׁל הַמְּנֹרָה.,The light came from the corner of the lamp.
"corps, army",B1,masculine,חיל,חֵיל,ħáyil,חטיבה בצבא,חיל הים עושה אימונים בים.,חֵיל הַיָּם עוֹשֶׂה אִמּוּנִים בַּיָּם.,The navy corps is training at sea.
correct,A1,adjective,נכון,נָכוֹן,naħón,בעל צורה נכונה או אמיתית,זה נכון.,זֶה נָכוֹן.,That is correct.
cosmetic,B2,adjective,קוסמטי,קוֹסְמֶטִי,kosmetí,,היא קנתה מוצר קוסמטי חדש לטיפוח העור.,הִיא קָנְתָה מוּצָר קוֹסְמֶטִי חָדָשׁ לְטִפּוּחַ הָעוֹר.,She bought a new cosmetic product for skin care.
cosmos,B2,masculine,קוסמוס,קוֹסְמוֹס,kósmos,,הקוסמוס נתפס כעולם אינסופי ומסתורי.,הַקוֹסְמוֹס נִתְפַּס כְּעוֹלָם אֵין-סוֹפִי וּמִסְתּוֹרִי.,The cosmos is perceived as an infinite and mysterious world.
count,A2,verb,ספר,סֵפֶר,safár,מנה ספורה של ספרים,המורה ספר את התלמידים.,הַמּוֹרֶה סָפַר אֶת הַתַּלְמִידִים.,The teacher counted the students.
counting,B1,feminine,ספירה,סְפִירָה,sfirá,פעולה של ספירה,אנחנו בספירה לסוף השנה.,אֲנַחְנוּ בַּסְּפִירָה לְסוֹף הַשָּׁנָה.,We are in the countdown to the end of the year.
"country, state",A1,feminine,מדינה,מְדִינָה,mdiná,שטח טריטוריאלי שבו חיים אנשים,ישראל היא מדינה קטנה.,יִשְׂרָאֵל הִיא מְדִינָה קְטַנָּה.,Israel is a small country.
court,A2,masculine,בית משפט,בֵּית מִשְׁפָּט,béit mishpát,מוסד לשיפוט,המשפט נערך בבית המשפט העירוני.,הַמִּשְׁפָּט נֶעֱרַךְ בְּבֵית הַמִּשְׁפָּט הָעִירוֹנִי.,The trial was held in the city courthouse.
cousin,A1,masculine,בן דוד,בֶּן דּוֹד,ben dod,פרי צהוב מתוק,יש לי בן־דוד בניו־יורק.,יֵשׁ לִי בֶּן־דוֹד בְּנְיוּ־יוֹרְק.,I have a cousin in New York.
"covenant, alliance",B1,feminine,ברית,בְּרִית,brit,הסכם מחייב בין צדדים,הברית בין המדינות חזקה.,הַבְּרִית בֵּין הַמְּדִינוֹת חָזָקָה.,The alliance between the countries is strong.
cow,A1,feminine,פרה,פָּרָה,pará,חיית משק לנביעת חלב,הפרה אוכלת דשא.,הַפָּרָה אוֹכֶלֶת דֶּשֶׁא.,The cow is eating grass.
"craft, skill",B1,feminine,אומנות,אוֹמָנוּת,umanút,עיסוק ביצירה או כישרון,אומנות טובה דורשת ניסיון וכישרון.,אוּמָּנוּת טוֹבָה דּוֹרֶשֶׁת נִסְיוֹן וְכִשָּׁרוֹן.,Craft requires experience and skill.
craftsman,B1,masculine,אומן,אוֹמָן,umán,אדם בעל מלאכה,האומן עשה כלי חרס בידיו.,הָאוּמָּן עָשָׂה כְּלֵי חֶרֶס בְּיָדָיו.,The craftsman made ceramic tools by hand.
craziness,B2,masculine,שיגעון,שִׁגָּעוֹן,shigaón,,אהבתו הפכה לשיגעון אמיתי.,אַהֲבָתוֹ הָפְכָה לְשִׁגָּעוֹן אֲמִתִּי.,His love turned into real madness.
crazy,A2,adjective,משוגע,מְשׁוּגָע,mshugá,שאינו מתנהג בהיגיון,הילד הזה משוגע על ספורט!,הַיֶּלֶד הַזֶּה מְשֻׁגָּע עַל סְפּוֹרְט!,This kid is crazy about sports!
cream,A2,feminine,שמנת,שֶׁמֶנֶת,shaménet,נוזל חלבי סמיך,הוא הוסיף שמנת לקפה שלו.,הוּא הוֹסִיף שַׁמֶּנֶת לַקָּפֶה שֶׁלוֹ.,He added cream to his coffee.
cream cheese,B1,feminine,גבינת שמנת,גְּבִינַת שֶׁמֶנֶת,gvinát shaménet,גבינה רכה למריחה,אני אוהב לאכול גבינת שמנת עם לחם.,אֲנִי אוֹהֵב לֶאֱכֹל גְּבִינַת שַׁמֶּנֶת עִם לֶחֶם.,I like to eat cream cheese with bread.
create,A2,verb,יצר,יָצַר,yetzer,יצר דבר חדש,הילד יצר תצבית מיופה.,הַיֶּלֶד יָצַר תַּצְבִּית מְיֻפֶּה.,The boy created a beautiful sculpture.
creative,B2,adjective,יצירתי,יְצִירָתִי,yetsiratí,,הילדה הראתה ציור יצירתי במיוחד.,הַיַּלְדָּה הֶרְאֲתָה צִיּוּר יְצִירָתִי בִּמְיֻחָד.,The girl showed a particularly creative drawing.
"creator, potter",B2,masculine,יוצר,יוֹצֵר,yotsér,,היוצר עבד בסטודיו על פסל חדש.,הַיוֹצֵר עָבַד בַּסְּטוּדְיוֹ עַל פֶּסֶל חָדָשׁ.,The creator worked in the studio on a new sculpture.
"creature, organism",B2,masculine,יצור,יְצוּר,yetsúr,,היצור הזה חי רק במעמקי הים.,הַיְּצוּר הַזֶּה חַי רַק בְּמַעֲמַקֵּי הַיָּם.,This creature lives only in the depths of the sea.
cricket,B2,masculine,נצר,נֵצֶר,nétser,,בלילה נשמע קול של נצר בגינה.,בַּלַּיְלָה נִשְׁמַע קוֹל שֶׁל נֵצֶר בַּגִּינָּה.,At night a cricket’s sound was heard in the garden.
crime,B1,masculine,פשע,פֶּשַׁע,pésha,מעשה נגד החוק,פשע חמור תוביל לכלא.,פֶּשַׁע חָמוּר תּוֹבִיל לְכֶלֶא.,A serious crime leads to prison.
criminal,B2,adjective,פלילי,פְּלִילִי,plilí,,החקירה חשפה פעילות פלילית.,הַחֲקִירָה חָשְׂפָה פְּעִילוּת פְּלִילִית.,The investigation exposed criminal activity.
"criminal, felon",A2,masculine,פושע,פּוֹשֵׁעַ,poshéa,מי שעובר על החוק,הפושע נלכד בתוך העיר.,הַפּוּשֵׁעַ נִלְכָּד בְּתוֹךְ הָעִיר.,The criminal was caught in the city.
"crunch, squeak",B2,verb,חרק,חָרָק,kharák,,הדלת חרקה בכל פעם שנפתחה.,הַדֶּלֶת חָרְקָה בְּכָל פַּעַם שֶׁנִּפְתְּחָה.,The door squeaked every time it opened.
cub,B1,masculine,גור,גּוּר,gur,צאצא של חיה,הגור הקטן רץ אחרי אמו.,הַגּוּר הַקָּטָן רָץ אַחֲרֵי אִמּוֹ.,The cub runs after its mother.
"cult, sect",B2,feminine,כת,כַּת,kat,,הכת החדשה משכה אליה צעירים רבים.,הַכָּת הַחֲדָשָׁה מָשְׁכָה אֵלֶיהָ צְעִירִים רַבִּים.,The new sect attracted many young people.
cultural,B1,adjective,תרבותי,תַּרְבּוּתִי,tarbutí,שייך לתרבות,הפסל הזה מאוד תרבותי.,הַפֶּסֶל הַזֶּה מְאֹד תַּרְבּוּתִי.,This sculpture is very cultural.
"culture, civilization",A2,feminine,תרבות,תַּרְבּוּת,tarbút,אורח חיים ומנהגים של עם,התרבות של ישראל מגוונת ומיוחדת.,הַתַּרְבּוּת שֶׁל יִשְׂרָאֵל מְגֻוֶּנֶת וּמְיֻחֶדֶת.,The culture of Israel is diverse and unique.
curl,B2,verb,תילתל,תִּילְתֵּל,tiltél,,הספר תילתל את שערו לפני הצילום.,הַסֵּפֶר תִּילְתֵּל אֶת שְׂעָרוֹ לִפְנֵי הַצִּלּוּם.,The boy curled his hair before the photo.
curly,B1,adjective,מתולתל,מְתוּלְתָּל,metultál,בעל שיער מתולתל,לילד יש שיער מתולתל.,לַיֶּלֶד יֵשׁ שֵׂעָר מְתוּלְתָּל.,The child has curly hair.
custom,B1,masculine,מנהג,מִנְהָג,minhág,מנהג שחוזרים עליו,המנהג הזה משותף לרבים.,הַמִּנְהָג הַזֶּה מְשֻׁתָּף לַרַּבִּים.,This custom is shared by many.
"cute, sweet",A2,adjective,חמוד,חָמוּד,ħamúd,בעל מראה מתוק או חינני,הכלב שלה מאוד חמוד.,הַכְּלָב שֶׁלָּהּ מְאֹד חָמוּד.,Her dog is very cute.
cycle,B1,masculine,מחזור,מַחְזוֹר,makhzór,חזרה על תהליך במחזוריות,כל שנה יש מחזור חדש של תלמידים.,כָּל שָׁנָה יֵשׁ מַחְזוֹר חָדָשׁ שֶׁל תַּלְמִידִים.,Every year there is a new cycle of students.
dad,A1,masculine,אבא,אַבָּא,ába,כינוי חיבה לגבר שנתן חיים לילד,אבא שלי עובד.,אַבָּא שֶׁלִּי עוֹבֵד.,My dad is working.
"damage, wound",B2,feminine,חבלה,חַבָּלָה,ħabalá,,החבלה בידו מנעה ממנו לשחק.,הַחֲבָלָה בְּיָדוֹ מָנְעָה מִמֶּנּוּ לְשַׂחֵק.,The injury to his hand prevented him from playing.
dance,A2,verb,רקד,רָקַד,rakád,ביצע תנועות ריקוד,האורח רקד כל הלילה.,הָעוֹרֵחַ רָקַד כָּל הַלַּיְלָה.,The guest danced all night.
dance,A2,masculine,ריקוד,רִיקּוּד,rikúd,תנועה עם מוזיקה,היה רקוד גדול במסבה.,הָיָה רִקּוּד גָּדוֹל בַּמְּסִבָּה.,There was a big dance at the party.
dancer,B1,masculine,רקדן,רַקְדָן,rakdán,מי שרוקד במקצוע,הרקדן מפגין כישרון על הבמה.,הָרַקְדָּן מַפְגִּין כִּשָּׁרוֹן עַל הַבָּמָה.,The dancer demonstrates talent on stage.
dark,A2,adjective,חשוך,חָשׁוּךְ,ħashúħ,חסר אור,החדר הזה חשוך מאוד.,הַחֶדֶר הַזֶּה חָשׁוּךְ מְאוֹד.,This room is very dark.
darkness,A2,masculine,חושך,חוֹשֶׁךְ,ħósheħ,היעדר אור,בלילה החושך גדול.,בַּלַּיְלָה הַחוֹשֶׁךְ גָּדוֹל.,"At night, the darkness is great."
date,A2,masculine,תאריך,תַּאֲרִיךְ,taaríħ,מועד כתוב בלוח,תרשום את התאריך במסמך.,תִּרְשׁוֹם אֶת הַתַּאֲרִיךְ בַּמִּסְמָךְ.,Write the date on the document.
date,A2,masculine,תמר,תָּמָר,tamár,פרי מתוק הגדל במדבר,הוא אכל תמר בארוחת הבוקר.,הוּא אָכַל תַּמָּר בְּאֲרוּחַת הַבֹּקֶר.,He ate a date for breakfast.
daughter,A1,feminine,בת,בַּת,bat,ילדה או אישה צעירה ביחס להוריה,יש לי בת אחת.,יֵשׁ לִי בַּת אַחַת.,I have one daughter.
day,A1,masculine,יום,יוֹם,yom,יחידת זמן של עשרים וארבע שעות,היום הוא יום חם.,הַיּוֹם הוּא יוֹם חַם.,Today is a hot day.
